Date,XLF,XLK,XLE,XLY,XLI,XLV,XLB,XLU,XLRE,XLC,XBI
2019-01-02,21.184282302856445,58.299598693847656,43.25198745727539,93.84657287597656,58.028133392333984,76.25172424316406,44.493595123291016,42.40317916870117,24.434080123901367,39.40574264526367,72.55509185791016
2019-01-03,20.708032608032227,55.35737228393555,42.82301330566406,91.81458282470703,56.26237106323242,74.70341491699219,43.23185729980469,42.39503479003906,24.54701805114746,38.74631118774414,70.9119873046875
2019-01-04,21.395946502685547,57.810794830322266,44.28003692626953,94.85313415527344,58.395626068115234,76.93189239501953,44.93168640136719,43.022804260253906,24.797080993652344,40.413726806640625,74.70604705810547
2019-01-07,21.422405242919922,58.32780838012695,44.93828582763672,96.99797821044922,58.87067413330078,77.22724151611328,45.08941650390625,42.72930145263672,25.00681495666504,40.87532043457031,79.16729736328125
2019-01-08,21.440046310424805,58.81661605834961,45.28590393066406,98.07040405273438,59.6773681640625,77.82686614990234,45.562564849853516,43.259239196777344,25.442420959472656,41.56301498413086,80.1431884765625
2019-01-09,21.545875549316406,59.57802963256836,46.003318786621094,98.56900024414062,60.08070373535156,78.1759033203125,45.58008575439453,42.998348236083984,25.337553024291992,41.619537353515625,80.48176574707031
2019-01-10,21.55469512939453,59.84123611450195,46.136436462402344,98.28677368164062,60.8963737487793,78.32806396484375,45.98312759399414,43.56089401245117,25.74089241027832,41.704322814941406,81.81616973876953
2019-01-11,21.607608795166016,59.72842788696289,45.86278533935547,98.3808364868164,60.83363342285156,78.58760833740234,45.79913330078125,43.397830963134766,25.789287567138672,41.497066497802734,81.65682983398438
2019-01-14,21.757543563842773,59.173824310302734,45.7518424987793,97.7787857055664,60.82467269897461,77.719482421875,45.44865417480469,42.41948699951172,25.708620071411133,41.346343994140625,79.78470611572266
2019-01-15,21.951570510864258,60.066829681396484,45.9145622253418,98.66304016113281,60.63644790649414,79.11563110351562,45.15073776245117,42.94126892089844,25.9990234375,42.034034729003906,81.85598754882812
2019-01-16,22.41899871826172,60.12322998046875,45.85539245605469,98.43728637695312,60.69917678833008,78.97245788574219,45.32598114013672,43.09617614746094,26.12002944946289,41.85504913330078,81.56721496582031
2019-01-17,22.5424747467041,60.508644104003906,46.2769660949707,99.10519409179688,61.7389030456543,79.6705322265625,46.12332534790039,43.275535583496094,26.24909019470215,42.02461624145508,82.05516052246094
2019-01-18,22.930524826049805,61.429847717285156,47.21625900268555,100.47866821289062,62.91310119628906,80.61920166015625,46.885623931884766,43.324459075927734,26.34589195251465,42.36375045776367,83.03105163574219
2019-01-22,22.665945053100586,60.39582824707031,46.188201904296875,98.9735107421875,61.613426208496094,80.0643081665039,46.23723220825195,43.40599060058594,26.2974910736084,41.48765182495117,80.52159881591797
2019-01-23,22.69240379333496,60.60264205932617,45.714866638183594,99.17103576660156,61.70305252075195,80.15381622314453,45.92179489135742,43.84624481201172,26.313623428344727,41.299232482910156,79.44611358642578
2019-01-24,22.745319366455078,61.110260009765625,45.95893478393555,99.5849838256836,62.01676559448242,79.48255157470703,45.67647171020508,44.07452392578125,26.418495178222656,41.48765182495117,80.21290588378906
2019-01-25,22.930524826049805,61.97505569458008,46.54322052001953,100.68561553955078,62.80555725097656,79.58102416992188,46.54389953613281,43.47121047973633,26.72502326965332,42.015193939208984,82.0252914428711
2019-01-28,22.859968185424805,61.147850036621094,46.0772819519043,100.10236358642578,62.20500564575195,78.67711639404297,46.47380828857422,43.26737976074219,26.991233825683594,41.64779281616211,79.69507598876953
2019-01-29,22.780597686767578,60.489845275878906,46.21780014038086,99.45325469970703,63.06547927856445,79.06192779541016,46.95572280883789,43.38968276977539,27.200960159301758,41.157928466796875,79.73491668701172
2019-01-30,22.912891387939453,62.36985778808594,46.868648529052734,101.40999603271484,64.05143737792969,80.14485931396484,47.45516586303711,43.72395324707031,27.426828384399414,41.75141906738281,81.94561767578125
2019-01-31,22.87761116027832,62.30405807495117,47.1718864440918,102.33187866210938,64.32929229736328,81.14722442626953,46.74543380737305,44.64522171020508,27.69303321838379,43.45652770996094,83.25012969970703
2019-02-01,22.974624633789062,62.67066955566406,47.99283981323242,100.83613586425781,64.42789459228516,81.21883392333984,46.885623931884766,44.47401809692383,27.523632049560547,43.305809020996094,83.63850402832031
2019-02-04,23.071640014648438,63.676483154296875,48.1037712097168,101.49464416503906,65.26148986816406,80.98612976074219,46.806766510009766,44.547393798828125,27.684967041015625,43.710872650146484,83.98702239990234
2019-02-05,23.00990104675293,64.2122802734375,48.17774200439453,102.44477081298828,65.8261489868164,80.86979675292969,47.148494720458984,44.63706970214844,27.870498657226562,44.19131851196289,83.44928741455078
2019-02-06,22.983444213867188,64.42849731445312,47.8227424621582,102.02143859863281,65.84408569335938,81.23672485351562,46.86809539794922,44.61260986328125,27.65269660949707,43.202171325683594,83.92729949951172
2019-02-07,22.754138946533203,63.544883728027344,46.76510238647461,101.18419647216797,65.39593505859375,80.34172058105469,46.21970748901367,45.199623107910156,27.88664436340332,42.78766632080078,81.64685821533203
2019-02-08,22.63948631286621,63.91147994995117,46.550601959228516,100.7796859741211,65.49451446533203,80.493896484375,46.17591094970703,45.39529037475586,27.88664436340332,43.0797004699707,82.33397674560547
2019-02-11,22.710050582885742,63.88328552246094,46.772499084472656,100.95844268798828,65.84408569335938,80.39546966552734,46.24599075317383,45.37899398803711,27.967302322387695,42.63694381713867,82.73231506347656
2019-02-12,23.045177459716797,64.72930145263672,47.36418533325195,102.51062774658203,66.86591339111328,81.49626922607422,47.27992630004883,45.48497009277344,27.773700714111328,43.126808166503906,84.06671142578125
